,country_id,country_value,indicator_name,year,value,region,incomeLevel,lendingType,longitude,latitude
0,ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2025,30.4,Aggregates,Aggregates,Aggregates,,
1,ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2024,28.8,Aggregates,Aggregates,Aggregates,,
2,ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2023,27.8,Aggregates,Aggregates,Aggregates,,
3,ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2022,26.8,Aggregates,Aggregates,Aggregates,,
4,ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2021,25.0,Aggregates,Aggregates,Aggregates,,
5,ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2020,23.5,Aggregates,Aggregates,Aggregates,,
6,ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2019,21.6,Aggregates,Aggregates,Aggregates,,
7,ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2018,19.6,Aggregates,Aggregates,Aggregates,,
8,ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2017,17.3,Aggregates,Aggregates,Aggregates,,
9,ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2016,16.3,Aggregates,Aggregates,Aggregates,,
10,ZI,Africa Western and Central,Individuals using the Internet (% of population),2025,42.4,Aggregates,Aggregates,Aggregates,,
11,ZI,Africa Western and Central,Individuals using the Internet (% of population),2024,40.0,Aggregates,Aggregates,Aggregates,,
12,ZI,Africa Western and Central,Individuals using the Internet (% of population),2023,38.5,Aggregates,Aggregates,Aggregates,,
13,ZI,Africa Western and Central,Individuals using the Internet (% of population),2022,37.5,Aggregates,Aggregates,Aggregates,,
14,ZI,Africa Western and Central,Individuals using the Internet (% of population),2021,34.7,Aggregates,Aggregates,Aggregates,,
15,ZI,Africa Western and Central,Individuals using the Internet (% of population),2020,31.5,Aggregates,Aggregates,Aggregates,,
16,ZI,Africa Western and Central,Individuals using the Internet (% of population),2019,28.5,Aggregates,Aggregates,Aggregates,,
17,ZI,Africa Western and Central,Individuals using the Internet (% of population),2018,25.7,Aggregates,Aggregates,Aggregates,,
18,ZI,Africa Western and Central,Individuals using the Internet (% of population),2017,23.8,Aggregates,Aggregates,Aggregates,,
19,ZI,Africa Western and Central,Individuals using the Internet (% of population),2016,20.9,Aggregates,Aggregates,Aggregates,,
20,1A,Arab World,Individuals using the Internet (% of population),2025,,Aggregates,Aggregates,Aggregates,,
21,1A,Arab World,Individuals using the Internet (% of population),2024,,Aggregates,Aggregates,Aggregates,,
22,1A,Arab World,Individuals using the Internet (% of population),2023,,Aggregates,Aggregates,Aggregates,,
23,1A,Arab World,Individuals using the Internet (% of population),2022,,Aggregates,Aggregates,Aggregates,,
24,1A,Arab World,Individuals using the Internet (% of population),2021,,Aggregates,Aggregates,Aggregates,,
25,1A,Arab World,Individuals using the Internet (% of population),2020,,Aggregates,Aggregates,Aggregates,,
26,1A,Arab World,Individuals using the Internet (% of population),2019,,Aggregates,Aggregates,Aggregates,,
27,1A,Arab World,Individuals using the Internet (% of population),2018,,Aggregates,Aggregates,Aggregates,,
28,1A,Arab World,Individuals using the Internet (% of population),2017,,Aggregates,Aggregates,Aggregates,,
29,1A,Arab World,Individuals using the Internet (% of population),2016,,Aggregates,Aggregates,Aggregates,,
30,S3,Caribbean small states,Individuals using the Internet (% of population),2025,,Aggregates,Aggregates,Aggregates,,
31,S3,Caribbean small states,Individuals using the Internet (% of population),2024,,Aggregates,Aggregates,Aggregates,,
32,S3,Caribbean small states,Individuals using the Internet (% of population),2023,,Aggregates,Aggregates,Aggregates,,
33,S3,Caribbean small states,Individuals using the Internet (% of population),2022,,Aggregates,Aggregates,Aggregates,,
34,S3,Caribbean small states,Individuals using the Internet (% of population),2021,,Aggregates,Aggregates,Aggregates,,
35,S3,Caribbean small states,Individuals using the Internet (% of population),2020,,Aggregates,Aggregates,Aggregates,,
